metric,bin,left,right,count
positive,0,1.5059970437,2.0663109414,42
positive,1,2.0663109414,2.6266248392,153
positive,2,2.6266248392,3.1869387370,324
positive,3,3.1869387370,3.7472526347,488
positive,4,3.7472526347,4.3075665325,631
positive,5,4.3075665325,4.8678804302,714
positive,6,4.8678804302,5.4281943280,720
positive,7,5.4281943280,5.9885082257,788
positive,8,5.9885082257,6.5488221235,808
positive,9,6.5488221235,7.1091360212,848
positive,10,7.1091360212,7.6694499190,806
positive,11,7.6694499190,8.2297638167,788
positive,12,8.2297638167,8.7900777145,815
positive,13,8.7900777145,9.3503916123,720
positive,14,9.3503916123,9.9107055100,753
positive,15,9.9107055100,10.4710194078,652
positive,16,10.4710194078,11.0313333055,632
positive,17,11.0313333055,11.5916472033,612
positive,18,11.5916472033,12.1519611010,620
positive,19,12.1519611010,12.7122749988,558
positive,20,12.7122749988,13.2725888965,543
positive,21,13.2725888965,13.8329027943,479
positive,22,13.8329027943,14.3932166921,473
positive,23,14.3932166921,14.9535305898,456
positive,24,14.9535305898,15.5138444876,427
positive,25,15.5138444876,16.0741583853,362
positive,26,16.0741583853,16.6344722831,366
positive,27,16.6344722831,17.1947861808,350
positive,28,17.1947861808,17.7551000786,339
positive,29,17.7551000786,18.3154139763,340
positive,30,18.3154139763,18.8757278741,323
positive,31,18.8757278741,19.4360417718,296
positive,32,19.4360417718,19.9963556696,319
positive,33,19.9963556696,20.5566695674,303
positive,34,20.5566695674,21.1169834651,293
positive,35,21.1169834651,21.6772973629,463
positive,36,21.6772973629,22.2376112606,134
positive,37,22.2376112606,22.7979251584,110
positive,38,22.7979251584,23.3582390561,123
positive,39,23.3582390561,23.9185529539,91
positive,40,23.9185529539,24.4788668516,82
positive,41,24.4788668516,25.0391807494,86
positive,42,25.0391807494,25.5994946471,87
positive,43,25.5994946471,26.1598085449,53
positive,44,26.1598085449,26.7201224427,53
positive,45,26.7201224427,27.2804363404,72
positive,46,27.2804363404,27.8407502382,64
positive,47,27.8407502382,28.4010641359,47
positive,48,28.4010641359,28.9613780337,54
positive,49,28.9613780337,29.5216919314,66
positive,50,29.5216919314,30.0820058292,33
positive,51,30.0820058292,30.6423197269,37
positive,52,30.6423197269,31.2026336247,53
positive,53,31.2026336247,31.7629475224,30
positive,54,31.7629475224,32.3232614202,24
positive,55,32.3232614202,32.8835753180,14
positive,56,32.8835753180,33.4438892157,11
positive,57,33.4438892157,34.0042031135,11
positive,58,34.0042031135,34.5645170112,9
positive,59,34.5645170112,35.1248309090,13
positive,60,35.1248309090,35.6851448067,9
positive,61,35.6851448067,36.2454587045,9
positive,62,36.2454587045,36.8057726022,8
positive,63,36.8057726022,37.3660865000,2
positive,64,37.3660865000,37.9264003978,4
positive,65,37.9264003978,38.4867142955,2
positive,66,38.4867142955,39.0470281933,2
positive,67,39.0470281933,39.6073420910,1
positive,68,39.6073420910,40.1676559888,1
positive,69,40.1676559888,40.7279698865,1
negative,0,0.2157458269,3.2570308836,2906
negative,1,3.2570308836,6.2983159403,3087
negative,2,6.2983159403,9.3396009971,2449
negative,3,9.3396009971,12.3808860538,1815
negative,4,12.3808860538,15.4221711105,1418
negative,5,15.4221711105,18.4634561673,1269
negative,6,18.4634561673,21.5047412240,1011
