metric,bin,left,right,count
positive,0,0.0000000000,0.0000000000,20000
positive,1,0.0000000000,0.0000000000,0
positive,2,0.0000000000,0.0000000000,0
positive,3,0.0000000000,0.0000000000,0
positive,4,0.0000000000,0.0000000000,0
positive,5,0.0000000000,0.0000000000,0
positive,6,0.0000000000,0.0000000000,0
positive,7,0.0000000000,0.0000000000,0
positive,8,0.0000000000,0.0000000000,0
positive,9,0.0000000000,0.0000000000,0
positive,10,0.0000000000,0.0000000000,0
positive,11,0.0000000000,0.0000000000,0
positive,12,0.0000000000,0.0000000000,0
positive,13,0.0000000000,0.0000000000,0
positive,14,0.0000000000,0.0000000000,0
positive,15,0.0000000000,0.0000000000,0
positive,16,0.0000000000,0.0000000000,0
positive,17,0.0000000000,0.0000000000,0
positive,18,0.0000000000,0.0000000000,0
positive,19,0.0000000000,0.0000000000,0
positive,20,0.0000000000,0.0000000000,0
positive,21,0.0000000000,0.0000000000,0
positive,22,0.0000000000,0.0000000000,0
positive,23,0.0000000000,0.0000000000,0
positive,24,0.0000000000,0.0000000000,0
positive,25,0.0000000000,0.0000000000,0
positive,26,0.0000000000,0.0000000000,0
positive,27,0.0000000000,0.0000000000,0
positive,28,0.0000000000,0.0000000000,0
positive,29,0.0000000000,0.0000000000,0
positive,30,0.0000000000,0.0000000000,0
positive,31,0.0000000000,0.0000000000,0
positive,32,0.0000000000,0.0000000000,0
positive,33,0.0000000000,0.0000000000,0
positive,34,0.0000000000,0.0000000000,0
positive,35,0.0000000000,0.0000000000,0
positive,36,0.0000000000,0.0000000000,0
positive,37,0.0000000000,0.0000000000,0
positive,38,0.0000000000,0.0000000000,0
positive,39,0.0000000000,0.0000000000,0
positive,40,0.0000000000,0.0000000000,0
positive,41,0.0000000000,0.0000000000,0
positive,42,0.0000000000,0.0000000000,0
positive,43,0.0000000000,0.0000000000,0
positive,44,0.0000000000,0.0000000000,0
positive,45,0.0000000000,0.0000000000,0
positive,46,0.0000000000,0.0000000000,0
positive,47,0.0000000000,0.0000000000,0
positive,48,0.0000000000,0.0000000000,0
positive,49,0.0000000000,0.0000000000,0
positive,50,0.0000000000,0.0000000000,0
positive,51,0.0000000000,0.0000000000,0
positive,52,0.0000000000,0.0000000000,0
positive,53,0.0000000000,0.0000000000,0
positive,54,0.0000000000,0.0000000000,0
positive,55,0.0000000000,0.0000000000,0
positive,56,0.0000000000,0.0000000000,0
positive,57,0.0000000000,0.0000000000,0
positive,58,0.0000000000,0.0000000000,0
positive,59,0.0000000000,0.0000000000,0
positive,60,0.0000000000,0.0000000000,0
positive,61,0.0000000000,0.0000000000,0
positive,62,0.0000000000,0.0000000000,0
positive,63,0.0000000000,0.0000000000,0
positive,64,0.0000000000,0.0000000000,0
positive,65,0.0000000000,0.0000000000,0
positive,66,0.0000000000,0.0000000000,0
positive,67,0.0000000000,0.0000000000,0
positive,68,0.0000000000,0.0000000000,0
positive,69,0.0000000000,0.0000000000,0
negative,0,0.0000000000,0.9977059636,15910
negative,1,0.9977059636,1.9954119272,937
negative,2,1.9954119272,2.9931178908,619
negative,3,2.9931178908,3.9908238543,474
negative,4,3.9908238543,4.9885298179,331
negative,5,4.9885298179,5.9862357815,303
negative,6,5.9862357815,6.9839417451,224
negative,7,6.9839417451,7.9816477087,190
negative,8,7.9816477087,8.9793536723,141
negative,9,8.9793536723,9.9770596358,110
negative,10,9.9770596358,10.9747655994,119
negative,11,10.9747655994,11.9724715630,84
negative,12,11.9724715630,12.9701775266,67
negative,13,12.9701775266,13.9678834902,70
negative,14,13.9678834902,14.9655894538,50
negative,15,14.9655894538,15.9632954173,55
negative,16,15.9632954173,16.9610013809,31
negative,17,16.9610013809,17.9587073445,37
negative,18,17.9587073445,18.9564133081,24
negative,19,18.9564133081,19.9541192717,31
negative,20,19.9541192717,20.9518252353,15
negative,21,20.9518252353,21.9495311988,13
negative,22,21.9495311988,22.9472371624,20
negative,23,22.9472371624,23.9449431260,17
negative,24,23.9449431260,24.9426490896,18
negative,25,24.9426490896,25.9403550532,15
negative,26,25.9403550532,26.9380610168,11
negative,27,26.9380610168,27.9357669803,14
negative,28,27.9357669803,28.9334729439,9
negative,29,28.9334729439,29.9311789075,7
negative,30,29.9311789075,30.9288848711,6
negative,31,30.9288848711,31.9265908347,3
negative,32,31.9265908347,32.9242967983,5
negative,33,32.9242967983,33.9220027618,5
negative,34,33.9220027618,34.9197087254,4
negative,35,34.9197087254,35.9174146890,0
negative,36,35.9174146890,36.9151206526,3
negative,37,36.9151206526,37.9128266162,3
negative,38,37.9128266162,38.9105325798,3
negative,39,38.9105325798,39.9082385433,4
negative,40,39.9082385433,40.9059445069,2
negative,41,40.9059445069,41.9036504705,2
negative,42,41.9036504705,42.9013564341,0
negative,43,42.9013564341,43.8990623977,2
negative,44,43.8990623977,44.8967683613,2
negative,45,44.8967683613,45.8944743248,2
negative,46,45.8944743248,46.8921802884,3
negative,47,46.8921802884,47.8898862520,0
negative,48,47.8898862520,48.8875922156,0
negative,49,48.8875922156,49.8852981792,0
negative,50,49.8852981792,50.8830041428,0
negative,51,50.8830041428,51.8807101063,0
negative,52,51.8807101063,52.8784160699,0
negative,53,52.8784160699,53.8761220335,0
negative,54,53.8761220335,54.8738279971,3
negative,55,54.8738279971,55.8715339607,0
negative,56,55.8715339607,56.8692399243,0
negative,57,56.8692399243,57.8669458878,1
negative,58,57.8669458878,58.8646518514,0
negative,59,58.8646518514,59.8623578150,0
negative,60,59.8623578150,60.8600637786,0
negative,61,60.8600637786,61.8577697422,0
negative,62,61.8577697422,62.8554757058,0
negative,63,62.8554757058,63.8531816693,0
negative,64,63.8531816693,64.8508876329,0
negative,65,64.8508876329,65.8485935965,0
negative,66,65.8485935965,66.8462995601,0
negative,67,66.8462995601,67.8440055237,0
negative,68,67.8440055237,68.8417114873,0
negative,69,68.8417114873,69.8394174509,1
net,0,-69.8394174509,-68.8417114873,1
net,1,-68.8417114873,-67.8440055237,0
net,2,-67.8440055237,-66.8462995601,0
net,3,-66.8462995601,-65.8485935965,0
net,4,-65.8485935965,-64.8508876329,0
net,5,-64.8508876329,-63.8531816693,0
net,6,-63.8531816693,-62.8554757058,0
net,7,-62.8554757058,-61.8577697422,0
net,8,-61.8577697422,-60.8600637786,0
net,9,-60.8600637786,-59.8623578150,0
net,10,-59.8623578150,-58.8646518514,0
net,11,-58.8646518514,-57.8669458878,0
net,12,-57.8669458878,-56.8692399243,1
net,13,-56.8692399243,-55.8715339607,0
net,14,-55.8715339607,-54.8738279971,0
net,15,-54.8738279971,-53.8761220335,3
net,16,-53.8761220335,-52.8784160699,0
net,17,-52.8784160699,-51.8807101063,0
net,18,-51.8807101063,-50.8830041428,0
net,19,-50.8830041428,-49.8852981792,0
net,20,-49.8852981792,-48.8875922156,0
net,21,-48.8875922156,-47.8898862520,0
net,22,-47.8898862520,-46.8921802884,0
net,23,-46.8921802884,-45.8944743248,3
net,24,-45.8944743248,-44.8967683613,2
net,25,-44.8967683613,-43.8990623977,2
net,26,-43.8990623977,-42.9013564341,2
net,27,-42.9013564341,-41.9036504705,0
net,28,-41.9036504705,-40.9059445069,2
net,29,-40.9059445069,-39.9082385433,2
net,30,-39.9082385433,-38.9105325798,4
net,31,-38.9105325798,-37.9128266162,3
net,32,-37.9128266162,-36.9151206526,3
net,33,-36.9151206526,-35.9174146890,3
net,34,-35.9174146890,-34.9197087254,0
net,35,-34.9197087254,-33.9220027618,4
net,36,-33.9220027618,-32.9242967983,5
net,37,-32.9242967983,-31.9265908347,5
net,38,-31.9265908347,-30.9288848711,3
net,39,-30.9288848711,-29.9311789075,6
net,40,-29.9311789075,-28.9334729439,7
net,41,-28.9334729439,-27.9357669803,9
net,42,-27.9357669803,-26.9380610168,14
net,43,-26.9380610168,-25.9403550532,11
net,44,-25.9403550532,-24.9426490896,15
net,45,-24.9426490896,-23.9449431260,18
net,46,-23.9449431260,-22.9472371624,17
net,47,-22.9472371624,-21.9495311988,20
