metric,bin,left,right,count
positive,0,1.4649670256,2.0295169970,29
positive,1,2.0295169970,2.5940669683,160
positive,2,2.5940669683,3.1586169397,277
positive,3,3.1586169397,3.7231669110,471
positive,4,3.7231669110,4.2877168824,597
positive,5,4.2877168824,4.8522668537,741
positive,6,4.8522668537,5.4168168251,799
positive,7,5.4168168251,5.9813667964,838
positive,8,5.9813667964,6.5459167678,822
positive,9,6.5459167678,7.1104667391,829
positive,10,7.1104667391,7.6750167105,809
positive,11,7.6750167105,8.2395666818,759
positive,12,8.2395666818,8.8041166532,819
positive,13,8.8041166532,9.3686666245,758
positive,14,9.3686666245,9.9332165959,662
positive,15,9.9332165959,10.4977665672,697
positive,16,10.4977665672,11.0623165386,627
positive,17,11.0623165386,11.6268665099,588
positive,18,11.6268665099,12.1914164813,563
positive,19,12.1914164813,12.7559664526,581
positive,20,12.7559664526,13.3205164240,499
positive,21,13.3205164240,13.8850663953,524
positive,22,13.8850663953,14.4496163666,481
positive,23,14.4496163666,15.0141663380,471
positive,24,15.0141663380,15.5787163093,411
positive,25,15.5787163093,16.1432662807,392
positive,26,16.1432662807,16.7078162520,387
positive,27,16.7078162520,17.2723662234,372
positive,28,17.2723662234,17.8369161947,368
positive,29,17.8369161947,18.4014661661,335
positive,30,18.4014661661,18.9660161374,318
positive,31,18.9660161374,19.5305661088,287
positive,32,19.5305661088,20.0951160801,323
positive,33,20.0951160801,20.6596660515,306
positive,34,20.6596660515,21.2242160228,286
positive,35,21.2242160228,21.7887659942,466
positive,36,21.7887659942,22.3533159655,118
positive,37,22.3533159655,22.9178659369,99
positive,38,22.9178659369,23.4824159082,105
positive,39,23.4824159082,24.0469658796,88
positive,40,24.0469658796,24.6115158509,87
positive,41,24.6115158509,25.1760658223,76
positive,42,25.1760658223,25.7406157936,75
positive,43,25.7406157936,26.3051657650,65
positive,44,26.3051657650,26.8697157363,68
positive,45,26.8697157363,27.4342657077,65
positive,46,27.4342657077,27.9988156790,65
positive,47,27.9988156790,28.5633656504,51
positive,48,28.5633656504,29.1279156217,57
positive,49,29.1279156217,29.6924655931,55
positive,50,29.6924655931,30.2570155644,53
positive,51,30.2570155644,30.8215655358,30
positive,52,30.8215655358,31.3861155071,38
positive,53,31.3861155071,31.9506654784,48
positive,54,31.9506654784,32.5152154498,23
positive,55,32.5152154498,33.0797654211,12
