metric,bin,left,right,count
positive,0,1.7268948457,2.3012322486,95
positive,1,2.3012322486,2.8755696516,242
positive,2,2.8755696516,3.4499070546,400
positive,3,3.4499070546,4.0242444576,630
positive,4,4.0242444576,4.5985818605,723
positive,5,4.5985818605,5.1729192635,783
positive,6,5.1729192635,5.7472566665,820
positive,7,5.7472566665,6.3215940695,885
positive,8,6.3215940695,6.8959314724,828
positive,9,6.8959314724,7.4702688754,796
positive,10,7.4702688754,8.0446062784,827
positive,11,8.0446062784,8.6189436813,768
positive,12,8.6189436813,9.1932810843,804
positive,13,9.1932810843,9.7676184873,724
positive,14,9.7676184873,10.3419558903,641
positive,15,10.3419558903,10.9162932932,648
positive,16,10.9162932932,11.4906306962,577
positive,17,11.4906306962,12.0649680992,623
positive,18,12.0649680992,12.6393055022,558
positive,19,12.6393055022,13.2136429051,506
positive,20,13.2136429051,13.7879803081,507
positive,21,13.7879803081,14.3623177111,463
positive,22,14.3623177111,14.9366551141,473
positive,23,14.9366551141,15.5109925170,458
positive,24,15.5109925170,16.0853299200,428
positive,25,16.0853299200,16.6596673230,415
positive,26,16.6596673230,17.2340047259,339
positive,27,17.2340047259,17.8083421289,367
positive,28,17.8083421289,18.3826795319,334
positive,29,18.3826795319,18.9570169349,291
positive,30,18.9570169349,19.5313543378,327
positive,31,19.5313543378,20.1056917408,294
positive,32,20.1056917408,20.6800291438,298
positive,33,20.6800291438,21.2543665468,277
positive,34,21.2543665468,21.8287039497,474
positive,35,21.8287039497,22.4030413527,110
positive,36,22.4030413527,22.9773787557,131
positive,37,22.9773787557,23.5517161587,116
positive,38,23.5517161587,24.1260535616,107
positive,39,24.1260535616,24.7003909646,83
positive,40,24.7003909646,25.2747283676,77
positive,41,25.2747283676,25.8490657705,97
positive,42,25.8490657705,26.4234031735,68
positive,43,26.4234031735,26.9977405765,69
positive,44,26.9977405765,27.5720779795,61
positive,45,27.5720779795,28.1464153824,55
positive,46,28.1464153824,28.7207527854,48
positive,47,28.7207527854,29.2950901884,53
positive,48,29.2950901884,29.8694275914,47
positive,49,29.8694275914,30.4437649943,50
positive,50,30.4437649943,31.0181023973,45
positive,51,31.0181023973,31.5924398003,37
positive,52,31.5924398003,32.1667772033,24
positive,53,32.1667772033,32.7411146062,18
positive,54,32.7411146062,33.3154520092,7
positive,55,33.3154520092,33.8897894122,9
positive,56,33.8897894122,34.4641268151,11
positive,57,34.4641268151,35.0384642181,7
positive,58,35.0384642181,35.6128016211,6
positive,59,35.6128016211,36.1871390241,11
positive,60,36.1871390241,36.7614764270,7
positive,61,36.7614764270,37.3358138300,7
positive,62,37.3358138300,37.9101512330,2
positive,63,37.9101512330,38.4844886360,4
positive,64,38.4844886360,39.0588260389,3
positive,65,39.0588260389,39.6331634419,2
positive,66,39.6331634419,40.2075008449,1
positive,67,40.2075008449,40.7818382479,0
positive,68,40.7818382479,41.3561756508,2
positive,69,41.3561756508,41.9305130538,2
negative,0,0.2416894502,3.3931335096,3916
negative,1,3.3931335096,6.5445775689,3557
negative,2,6.5445775689,9.6960216282,2468
negative,3,9.6960216282,12.8474656875,1842
negative,4,12.8474656875,15.9989097469,1429
negative,5,15.9989097469,19.1503538062,1096
negative,6,19.1503538062,22.3017978655,907
negative,7,22.3017978655,25.4532419249,689
negative,8,25.4532419249,28.6046859842,566
negative,9,28.6046859842,31.7561300435,481
negative,10,31.7561300435,34.9075741029,414
negative,11,34.9075741029,38.0590181622,347
negative,12,38.0590181622,41.2104622215,276
negative,13,41.2104622215,44.3619062809,243
negative,14,44.3619062809,47.5133503402,192
negative,15,47.5133503402,50.6647943995,175
negative,16,50.6647943995,53.8162384589,146
negative,17,53.8162384589,56.9676825182,159
negative,18,56.9676825182,60.1191265775,126
negative,19,60.1191265775,63.2705706369,104
negative,20,63.2705706369,66.4220146962,92
negative,21,66.4220146962,69.5734587555,84
negative,22,69.5734587555,72.7249028149,72
negative,23,72.7249028149,75.8763468742,68
negative,24,75.8763468742,79.0277909335,68
negative,25,79.0277909335,82.1792349928,49
negative,26,82.1792349928,85.3306790522,45
negative,27,85.3306790522,88.4821231115,46
negative,28,88.4821231115,91.6335671708,27
negative,29,91.6335671708,94.7850112302,29
negative,30,94.7850112302,97.9364552895,29
negative,31,97.9364552895,101.0878993488,31
negative,32,101.0878993488,104.2393434082,21
negative,33,104.2393434082,107.3907874675,19
negative,34,107.3907874675,110.5422315268,17
negative,35,110.5422315268,113.6936755862,16
negative,36,113.6936755862,116.8451196455,14
negative,37,116.8451196455,119.9965637048,14
