# Summary of Summaries

This file aggregates p01..p99 percentile outputs across major runs.

Runs included: baseline, no_drink_and_drive, no_binge, abstinence, baseline_seed_301, baseline_seed_302, baseline_seed_303, baseline_seed_304, baseline_seed_305, baseline_daily_mode

## Positive utilons
| percentile | baseline | no_drink_and_drive | no_binge | abstinence | baseline_seed_301 | baseline_seed_302 | baseline_seed_303 | baseline_seed_304 | baseline_seed_305 | baseline_daily_mode |
|---|---|---|---|---|---|---|---|---|---|---|
| p01 | 2.6475 | 2.6283 | 2.5845 | 0.0000 | 2.5915 | 2.5641 | 2.6104 | 2.5814 | 2.6090 | 0.9648 |
| p05 | 3.7389 | 3.7856 | 3.7197 | 0.0000 | 3.7409 | 3.7070 | 3.7340 | 3.6968 | 3.6861 | 2.9951 |
| p10 | 4.5999 | 4.6404 | 4.5292 | 0.0000 | 4.5732 | 4.5988 | 4.5657 | 4.5274 | 4.6000 | 4.0916 |
| p25 | 6.7781 | 6.7270 | 6.6001 | 0.0000 | 6.7083 | 6.7107 | 6.7334 | 6.6696 | 6.7708 | 6.2445 |
| p50 | 10.4255 | 10.4453 | 10.3735 | 0.0000 | 10.4093 | 10.3443 | 10.3432 | 10.3369 | 10.4709 | 9.6484 |
| p75 | 15.7616 | 15.8502 | 15.8193 | 0.0000 | 15.8005 | 15.6341 | 15.7412 | 15.6656 | 15.8617 | 14.8385 |
| p90 | 20.8461 | 20.8359 | 20.9205 | 0.0000 | 20.8501 | 20.7302 | 20.8846 | 20.8424 | 20.9357 | 20.4923 |
| p95 | 23.5319 | 23.6209 | 23.6944 | 0.0000 | 23.7823 | 23.5163 | 23.6689 | 23.9046 | 23.8479 | 22.9815 |
| p99 | 30.6723 | 30.6410 | 30.5296 | 0.0000 | 30.3750 | 30.5792 | 30.4167 | 30.5577 | 30.5550 | 31.0376 |

## Negative utilons
| percentile | baseline | no_drink_and_drive | no_binge | abstinence | baseline_seed_301 | baseline_seed_302 | baseline_seed_303 | baseline_seed_304 | baseline_seed_305 | baseline_daily_mode |
|---|---|---|---|---|---|---|---|---|---|---|
| p01 | 0.8661 | 0.5418 | 0.6542 | 0.0000 | 0.8324 | 0.8478 | 0.8544 | 0.8382 | 0.8551 | 0.6520 |
| p05 | 1.6758 | 1.0609 | 1.3036 | 0.0000 | 1.6803 | 1.7147 | 1.6640 | 1.6814 | 1.6974 | 1.4550 |
| p10 | 2.4938 | 1.5640 | 2.0071 | 0.0000 | 2.5212 | 2.5126 | 2.5548 | 2.5116 | 2.4916 | 2.2874 |
| p25 | 5.2415 | 3.2771 | 4.2633 | 0.0000 | 5.3600 | 5.1519 | 5.2886 | 5.2647 | 5.1454 | 5.0568 |
| p50 | 11.9127 | 7.5976 | 9.7899 | 0.0000 | 12.1042 | 11.8054 | 11.8253 | 11.8454 | 11.7030 | 11.9657 |
| p75 | 25.3812 | 16.4739 | 21.4934 | 0.3268 | 25.7316 | 25.3717 | 25.3480 | 25.4726 | 25.2440 | 25.0430 |
| p90 | 46.7048 | 29.4991 | 41.3439 | 4.1650 | 46.7470 | 45.8179 | 46.5301 | 47.0131 | 46.0706 | 44.9013 |
| p95 | 64.1447 | 39.9029 | 59.2752 | 8.0440 | 64.1379 | 63.7577 | 64.6054 | 64.9031 | 65.3468 | 60.6156 |
| p99 | 104.1942 | 64.5915 | 104.8903 | 19.7050 | 107.9056 | 105.1612 | 108.3238 | 107.9141 | 112.7374 | 100.5455 |

## Net utilons
| percentile | baseline | no_drink_and_drive | no_binge | abstinence | baseline_seed_301 | baseline_seed_302 | baseline_seed_303 | baseline_seed_304 | baseline_seed_305 | baseline_daily_mode |
|---|---|---|---|---|---|---|---|---|---|---|
| p01 | -94.5034 | -53.4626 | -93.3490 | -19.7050 | -95.5757 | -93.1695 | -97.9291 | -96.3767 | -100.1978 | -91.2395 |
| p05 | -52.6984 | -29.5307 | -48.1920 | -8.0440 | -53.3955 | -53.1510 | -53.2655 | -53.2695 | -53.7522 | -50.3578 |
| p10 | -35.9380 | -19.2388 | -30.6365 | -4.1650 | -36.1039 | -35.1178 | -35.7958 | -35.9743 | -35.3304 | -34.5048 |
| p25 | -14.5387 | -6.0963 | -10.8672 | -0.3268 | -14.9909 | -14.6349 | -14.7308 | -14.8889 | -14.5288 | -14.2273 |
